image,video_pred,minutage_pred
i000,v001,0.000000
i001,v050,11.966667
i002,out,
i003,v042,8.200000
i004,v030,3.333333
i005,v048,0.000000
i006,v042,0.000000
i007,v021,7.100000
i008,out,
i009,v064,0.000000
i010,v037,9.266667
i011,v001,0.000000
i012,v062,5.333333
i013,v003,0.000000
i014,v011,3.666667
i015,v030,3.333333
i016,v003,0.000000
i017,v010,0.000000
i018,v081,0.000000
i019,out,
i020,v048,0.000000
i021,v022,2.266667
i022,out,
i023,v070,0.000000
i024,v018,0.000000
i025,v079,0.000000
i026,v019,1.766667
i027,v030,8.566667
i028,v036,0.900000
i029,v048,0.000000
i030,v012,0.000000
i031,v008,4.133333
i032,v022,0.000000
i033,v010,0.000000
i034,v048,0.000000
i035,v076,0.000000
i036,v004,6.400000
i037,v077,0.000000
i038,v079,0.000000
i039,v008,0.000000
i040,v046,0.000000
i041,v030,2.500000
i042,v004,1.600000
i043,v034,0.000000
i044,v008,4.166667
i045,v006,0.000000
i046,v024,15.066667
i047,v026,0.000000
i048,v032,0.000000
i049,v062,2.200000
i050,v042,7.900000
i051,v064,0.233333
i052,v028,0.000000
i053,v015,7.433333
i054,v065,4.233333
i055,out,
i056,v082,0.000000
i057,v030,8.900000
i058,out,
i059,v046,9.933333
i060,v056,0.000000
i061,v009,0.000000
i062,v024,5.566667
i063,v030,3.333333
i064,out,
i065,v024,10.033333
i066,v019,0.000000
i067,out,
i068,v061,3.633333
i069,v013,0.000000
i070,v027,0.000000
i071,v039,0.000000
i072,v100,5.300000
i073,v086,0.500000
i074,v065,6.000000
i075,v030,2.666667
i076,v070,0.000000
i077,v024,0.000000
i078,v008,3.166667
i079,v030,3.233333
i080,v015,3.100000
i081,v017,0.000000
i082,out,
i083,v077,0.000000
i084,v073,0.000000
i085,v026,0.000000
i086,v014,0.266667
i087,out,
i088,v015,13.866667
i089,out,
i090,v089,9.066667
i091,v044,0.000000
i092,v080,0.000000
i093,v003,5.466667
i094,v013,9.666667
i095,out,
i096,v033,0.000000
i097,v055,0.000000
i098,v068,0.000000
i099,v055,0.000000
i100,v009,0.000000
i101,v044,0.033333
i102,v091,0.000000
i103,v081,0.000000
i104,v082,3.500000
i105,v003,0.000000
i106,v012,0.000000
i107,v014,0.000000
i108,out,
i109,out,
i110,v011,4.300000
i111,v084,2.900000
i112,v016,4.266667
i113,v068,0.000000
i114,v082,8.500000
i115,v082,6.000000
i116,v037,0.000000
i117,v001,0.000000
i118,v100,0.000000
i119,v050,0.000000
i120,v086,0.000000
i121,v025,0.000000
i122,v042,0.700000
i123,v077,0.000000
i124,v058,0.033333
i125,v005,0.000000
i126,v077,0.000000
i127,v065,5.766667
i128,v051,0.000000
i129,v005,0.000000
i130,v072,0.000000
i131,v065,0.000000
i132,v030,3.366667
i133,v058,1.933333
i134,v003,0.000000
i135,v057,0.000000
i136,v033,0.000000
i137,out,
i138,v099,0.000000
i139,v030,3.200000
i140,v049,0.000000
i141,v013,12.700000
i142,v070,0.000000
i143,v098,0.000000
